Field Label,Field Name,Purpose,Entry Guidelines,Example Value,Controlled Vocabulary?,Vocabulary List,Field Type,Multivalued?,Required?,Commentary,Namespace source,Definition URI
Endpoint URL,b1g_dcat_endpointURL_s,URL from which the resource was harvested,"Enter the full URL of the API endpoint, metadata feed, landing page, or query used to harvest the resource.",https://opendata.minneapolismn.gov/api/feed/dcat-us/1.1.json,FALSE,,String,FALSE,FALSE,"Metadata feed URLs often end in .json. For programmatically harvested records, child records may inherit this value from their parent source entity.",DCAT,https://gin.btaa.org/metadata/b1g/##endpoint-url
GeoNames,b1g_geonames_sm,URI for a place name from the GeoNames database,Enter a GeoNames Semantic Web Service URI in the form http://sws.geonames.org/<ID>/.,http://sws.geonames.org/2988507,TRUE,https://www.geonames.org,Array of strings,TRUE,FALSE,May support linked-data use cases in the future.,Local,https://gin.btaa.org/metadata/b1g/#geonames
Harvest Workflow,b1g_harvestWorkflow_s,Workflow that produced the record,Enter the code/name for the corresponding harvest workflow used to generate the record.,py_arcgis_hub,TRUE,https://gin.btaa.org/metadata/harvest-workflows,String,FALSE,FALSE,"For programmatically harvested records, child records inherit this value from their parent source entity (e.g., a website).",Local,https://gin.btaa.org/metadata/b1g/#harvest-workflow
Is Harvested,b1g_isHarvested_b,Whether the website is actively harvested,Enter true or false.,true,TRUE,True; False,Boolean,FALSE,FALSE,Use for source-level records (websites/platforms) to indicate whether harvesting is active.,Local,https://gin.btaa.org/metadata/b1g/#is-harvested
Language String,b1g_language_sm,Human-readable language label,Do not enter manually.,eng,TRUE,https://www.loc.gov/standards/iso639-2/php/code_list.php,Array of strings,TRUE,FALSE,Automatically populated based on the Language code.,Local,https://gin.btaa.org/metadata/b1g/#language-string
Last Harvested,b1g_lastHarvested_dt,Date the website was last harvested,Enter a date in yyyy-mm-dd format.,2025-01-01,FALSE,,Date,FALSE,FALSE,Intended for website/source records to track lifecycle and harvest schedules. Do not use for standalone item records without child records.,Local,https://gin.btaa.org/metadata/b1g/#last-harvested
Local Collection,b1g_localCollectionLabel_sm,Subcollection defined by the Publisher or Provider,Enter plain text.,Coastal,FALSE,,Array of strings,TRUE,FALSE,"Represents source-defined groupings/collections. In the UI it displays as a clickable facet value rather than as a structured relationship (e.g., Is Part Of).",Local,https://gin.btaa.org/metadata/b1g/#local-collection
Mediator,b1g_dct_mediator_sm,Institutions that provide authentication for licensed resources,Enter the full BTAA institution name as listed on the Institutions page.,University of Minneapolis,TRUE,https://gin.btaa.org/team/institutions/,Array of strings,TRUE,FALSE,Used as a facet so users can filter to licensed resources accessible via their institution. Stored as plain text.,DCMI,https://gin.btaa.org/metadata/b1g/#mediator
Provenance,b1g_dct_provenance_sm,Plain-language summary of how the record was obtained,"Enter complete sentences describing when, where, and how the record was obtained. Values may be entered manually or generated programmatically.",The metadata for this resource was last retrieved from U.S. Fish and Wildlife Service Open Data on 2025-08-24.,FALSE,,Array of strings,TRUE,FALSE,This is the only provenance-related field visible to end users. It should summarize the information in other provenance fields in plain language.,DCMI,https://gin.btaa.org/metadata/b1g/#provenance-statement
Publication State,b1g_publication_state_s,Whether the record is visible in the geoportal,Enter one of the three allowed values.,draft,TRUE,draft; published; unpublished ,String,FALSE,TRUE,"Controls whether users can discover the record in the geoportal (search and relationship browsing). Regardless of state, the direct link to the resource will be accessible.",Local,https://gin.btaa.org/metadata/b1g/#publication-state
Spatial Resolution as Text,b1g_dcat_spatialResolutionInMeters_s,Human-readable description of spatial resolution,"Enter a scale, distance, or other descriptive free text.","Scale [1:1,140,480]",FALSE,,String,FALSE,FALSE,Analogous to scale for map records; may also convey recommended resolution for GIS datasets.,DCAT,https://gin.btaa.org/metadata/b1g/#spatial-resolution-as-text
Spatial Resolution in Meters,b1g_dcat_spatialResolutionInMeters_sm,Numeric spatial resolution of a raster dataset,Enter a numeric resolution in meters.,100,FALSE,,Array of strings,TRUE,FALSE,Intended for raster datasets only.,DCAT,https://gin.btaa.org/metadata/b1g/#spatial-resolution-in-meters
Tags,b1g_adminTags_sm,Administrative keywords for internal tracking,Use tags only for internal categories.,2022-creator-sprint,FALSE,,Array of strings,TRUE,FALSE,"Internal searchable tags for workflow tracking (e.g., cleanup sprints, batch updates).",Local,https://gin.btaa.org/metadata/b1g/#admin-tags
Website Platform,b1g_websitePlatform_s,Technology platform used by the website,"Use a standardized platform value when possible. If unclear, use ""custom data portal"" or ""other"".",ArcGIS Hub,FALSE,,String,FALSE,FALSE,Helps characterize the technology landscape across sources and supports selection of appropriate harvesting workflows.,Local,https://gin.btaa.org/metadata/b1g/#website-platform
